Hangul,Meaning,Speech Part,Unit,Notes
휴가,holiday vacation,noun,2.35,
휴식,break,noun,2.35,
넘치다,to overflow,verb,2.35,
피하다,to avoid,verb,2.35,
펴다,"to unfold, unravel",verb,2.35,
답장하다,to respond to a message,verb,2.35,
봉사하다,to volunteer,verb,2.35,
시도하다,"to try, attempt",verb,2.35,
펴지다,"to be unfurled, unfolded, unravelled",passive verb,2.35,
답답하다,to be stuffy,adjectives,2.35,
평화롭다,to be peaceful,adjectives,2.35,
신기하다,"to be amazing, cool",adjectives,2.35,
멋있다,to be stylish,adjectives,2.35,
오히러,on the contrary,adverb,2.35,
소방서,fire station,noun,2.36,
무릎,knee,noun,2.36,
얼음,ice,noun,2.36,
흡연,smoking,noun,2.36,
종이라,calf,noun,2.36,
관리비,management fees,noun,2.36,
치료비,medical fees,noun,2.36,
보관료,storage fees,noun,2.36,
땅값,land prices,noun,2.36,
입장료,entrance fees,noun,2.36,
등록금,tuition/registration fees,noun,2.36,
교통비,transportation fees,noun,2.36,
원룸,studio apartment,noun,2.36,
화장,makeup,noun,2.36,
소방,firefighting,noun,2.36,
초등학교,elementary school,noun,2.36,
첫차,first bus/car,noun,2.36,
가격표,price tag,noun,2.36,
여우,fox,noun,2.36,
의욕,"drive, motivation",noun,2.36,
일방적,one-sided,noun,2.36,
이사하다,to move to a new house,verb,2.36,
귀국하다,"to ""repatriate""",verb,2.36,
터지하다,to explode,verb,2.36,
기대다,to lean against,verb,2.36,
얻다,"to gain, get, obtain",verb,2.36,
입신하다,to get pregnant,verb,2.36,
보이다,to be seen,passive verb,2.36,
들리다,to be heard,passive verb,2.36,
짜다,to be salty,adjective,2.36,
도로,road,noun,2.37,
고속도로,highway,noun,2.37,
스님,buddist monk,noun,2.37,
당국,authorities,noun,2.37,
도시락,lunch box,noun,2.37,
여행자,traveller,noun,2.37,
피해,damage,noun,2.37,
선형,plastic surgery,noun,2.37,
연휴,continuous holidays,noun,2.37,
최신,the latest,noun,2.37,
진심,"sincerity, truth",noun,2.37,
한편,on the other hand,noun,2.37,
반면,on the other hand,noun,2.37,
점프하다,to jump,verb,2.37,
깜빡하다,to forget,verb,2.37,
빨다,to suck,verb,2.37,
뜨다,to open one's eyes,verb,2.37,
감다,to close one's eyes,verb,2.37,
다투다,to fight verbally,verb,2.37,
겨루다,to compete/fight/vie for,verb,2.37,
개설하다,to establish/open,verb,2.37,
설레다,for one's heart to be beating in excitement,verb,2.37,
떠지다,to have one's eyes open,passive verb,2.37,
감기다,to have one's eyes closed,passive verb,2.37,
왜냐하면,because,conjunction,2.37,
그래서,therefore,conjunction,2.37,
투자자,investor,noun,2.38,
주식,stocks,noun,2.38,
주식시장,stock market,noun,2.38,
교복,school uniform,noun,2.38,
여신,goddess,noun,2.38,
별명,nickname,noun,2.38,
기업,enterprise,noun,2.38,
혈실,reality,noun,2.38,
품,posture,noun,2.38,
제사,praying to ancestors on a holiday,noun,2.38,
떨어뜨러다,to drop,verb,2.38,
제안하다,to propose/suggest,verb,2.38,
두자하다,to invest,verb,2.38,
부정하다,to deny,verb,2.38,
되짚다,"to look back (in the past), to go back",verb,2.38,
망설이다,to hesitate,verb,2.38,
세수하다,to clean one's face,verb,2.38,
통화하다,to talk on the phone,verb,2.38,
떨어지다,to be dropped,passive verb,2.38,
북적거리다,"to be crowded, busy, packed",passive verb,2.38,
귀찮다,to be annoying,adjective,2.38,
고르게,"evenly, flatly",adverb,2.38,
자네,you (extra formal),noun,2.39,
또래,"age, peer group",noun,2.39,
세제,laundry detergent,noun,2.39,
뒷모습,one's appearance from behind,noun,2.39,
봉지,plastic bags,noun,2.39,
산소,oxygen,noun,2.39,
국립,national,noun,2.39,
종,bell,noun,2.39,
주방,kitchen,noun,2.39,
드시다,to eat (formal),verb,2.39,
잡수지다,to eat (formal),verb,2.39,
주무시다,to sleep (formal),verb,2.39,
계시다,to be in/at a location (formal),verb,2.39,
말씀하다,to speak (formal),verb,2.39,
드리다,to give (formal),verb,2.39,
소변을 보다,to urinate,verb,2.39,
대답하다,to answer/reply,verb,2.39,
치다,to tap,verb,2.39,
망치다,to spoil/ruin/screw up,verb,2.39,
다가가다,to approach,verb,2.39,
다가오다,to come near/approach,verb,2.39,
가파르다,to be steep,adjective,2.39,
그저께,the day before yesterday,noun,2.39,
오줌,urine,noun,2.40,
권력,"power, authority",noun,2.40,
수준,"level, standard",noun,2.40,
학력,level of education,noun,2.40,
직원,"employee, staff member",noun,2.40,
허가,permission,noun,2.40,
보안,security,noun,2.40,
시선,one's eyes,noun,2.40,
물체,object,noun,2.40,
수고하다,to work hard,verb,2.40,
말다,to not do,verb,2.40,
직진하다,to go straight,verb,2.40,
올라가다,to go up,verb,2.40,
올라오다,to come up,verb,2.40,
올려다보다,to look up,verb,2.40,
후들거리다,to shake/tremble,passive verb,2.40,
남용하다,to abuse,verb,2.40,
감시하다,to monitor/watch,verb,2.40,
부끄러워하다,to be shy,adjective,2.40,
슬프하다,to be sad,adjective,2.40,
동등하다,to be equal,adjective,2.40,
유쾌하다,"to be pleasant, enjoyable, delightful",adjective,2.40,
온순하다,to be gentle,adjective,2.40,
먼저,"first, in advance",adverb,2.40,
오른,right,noun,2.40,
왼,left,noun,2.40,
줄곧,"constantly, continuously, all the time",adverb,2.40,
가만히,"to to be still, motionless",adverb,2.40,
